#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 246000      1.08e+01    1.34e+01      7.95e-03    8.78e-03      1.08e-01    1.34e-01    2.3e-07
 247000      1.20e+01    2.03e+01      2.56e-03    1.67e-02      1.20e-01    2.03e-01    2.3e-07
 248000      2.27e+01    2.00e+00      9.00e-03    6.63e-03      2.27e-01    2.00e-02    2.3e-07
 249000      1.02e+01    2.10e+01      3.75e-02    1.20e-02      1.02e-01    2.10e-01    2.3e-07
 250000      2.24e+01    3.20e+01      7.19e-03    1.14e-02      2.24e-01    3.20e-01    1.9e-07
 251000      2.24e+01    1.32e+01      1.55e-02    1.25e-02      2.24e-01    1.32e-01    1.9e-07
 252000      1.16e+01    3.22e+01      5.47e-03    2.93e-02      1.16e-01    3.22e-01    1.9e-07
 253000      1.20e+01    1.31e+01      3.50e-03    1.02e-02      1.20e-01    1.31e-01    1.9e-07
 254000      1.33e+01    7.30e+00      4.43e-03    1.47e-03      1.33e-01    7.30e-02    1.9e-07
 255000      5.83e+00    2.86e+01      3.80e-02    3.24e-04      5.83e-02    2.86e-01    1.6e-07
 256000      1.89e+01    1.24e+01      1.01e-02    8.25e-03      1.89e-01    1.24e-01    1.6e-07
 257000      1.93e+01    2.51e+01      2.43e-02    1.28e-02      1.93e-01    2.51e-01    1.6e-07
