#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 180000      2.47e+01    2.05e+01      5.79e-03    5.86e-02      2.47e-01    2.05e-01    2.1e-06
 181000      1.13e+01    1.72e+01      7.55e-03    2.37e-03      1.13e-01    1.72e-01    2.1e-06
 182000      2.08e+01    1.23e+01      2.94e-03    3.62e-02      2.08e-01    1.23e-01    2.1e-06
 183000      8.90e+00    8.39e+00      1.95e-02    1.36e-01      8.90e-02    8.39e-02    2.1e-06
 184000      7.33e+00    1.65e+01      1.91e-02    1.50e-02      7.33e-02    1.65e-01    2.1e-06
 185000      1.49e+01    2.64e+01      1.08e-03    3.02e-02      1.49e-01    2.64e-01    1.8e-06
 186000      1.26e+01    3.03e+01      2.43e-02    2.06e-03      1.26e-01    3.03e-01    1.8e-06
 187000      1.59e+01    1.28e+01      1.12e-02    1.02e-01      1.59e-01    1.28e-01    1.8e-06
 188000      1.60e+01    3.67e+01      1.04e-02    2.21e-01      1.60e-01    3.67e-01    1.8e-06
 189000      1.69e+01    1.69e+01      1.52e-02    2.52e-02      1.69e-01    1.69e-01    1.8e-06
 190000      9.99e+00    2.22e+01      1.45e-02    9.91e-02      9.99e-02    2.22e-01    1.5e-06
 191000      8.22e+00    3.84e+01      2.72e-02    4.25e-02      8.22e-02    3.84e-01    1.5e-06
 192000      1.27e+01    1.49e+01      3.55e-02    3.29e-02      1.27e-01    1.49e-01    1.5e-06
 193000      2.08e+01    1.89e+01      3.00e-02    3.23e-02      2.08e-01    1.89e-01    1.5e-06
 194000      7.79e+00    2.40e+01      4.53e-02    4.00e-02      7.79e-02    2.40e-01    1.5e-06
 195000      2.97e+01    2.15e+01      1.09e-01    7.74e-02      2.97e-01    2.15e-01    1.3e-06
 196000      1.40e+01    2.23e+01      2.89e-02    3.86e-03      1.40e-01    2.23e-01    1.3e-06
 197000      1.88e+01    2.17e+01      2.67e-02    2.29e-01      1.88e-01    2.17e-01    1.3e-06
 198000      1.24e+01    1.54e+01      1.46e-02    2.35e-02      1.24e-01    1.54e-01    1.3e-06
 199000      1.77e+01    2.32e+01      3.79e-02    1.96e-02      1.77e-01    2.32e-01    1.3e-06
 200000      2.16e+01    1.17e+01      7.07e-04    1.34e-02      2.16e-01    1.17e-01    1.1e-06
 201000      1.47e+01    1.71e+01      1.22e-02    2.01e-02      1.47e-01    1.71e-01    1.1e-06
 202000      3.60e+01    2.61e+01      1.64e-02    1.33e-02      3.60e-01    2.61e-01    1.1e-06
 203000      1.12e+01    1.69e+01      3.24e-02    2.54e-02      1.12e-01    1.69e-01    1.1e-06
 204000      1.71e+01    2.53e+01      4.47e-02    1.51e-02      1.71e-01    2.53e-01    1.1e-06
 205000      6.93e+00    6.68e+00      6.05e-03    3.02e-02      6.93e-02    6.68e-02    9.0e-07
 206000      3.02e+01    1.24e+01      2.21e-02    3.15e-02      3.02e-01    1.24e-01    9.0e-07
 207000      1.58e+01    9.83e+00      5.90e-02    1.49e-02      1.58e-01    9.83e-02    9.0e-07
 208000      1.46e+01    1.67e+01      1.96e-02    3.51e-02      1.46e-01    1.67e-01    9.0e-07
 209000      2.31e+01    1.71e+01      5.28e-03    1.56e-02      2.31e-01    1.71e-01    9.0e-07
 210000      2.40e+01    3.74e+01      5.97e-03    3.60e-02      2.40e-01    3.74e-01    7.6e-07
 211000      4.28e+01    3.52e+01      3.35e-02    3.55e-02      4.28e-01    3.52e-01    7.6e-07
 212000      6.44e+00    1.22e+01      4.48e-02    1.66e-02      6.44e-02    1.22e-01    7.6e-07
 213000      1.91e+01    6.60e+00      1.86e-02    2.64e-02      1.91e-01    6.60e-02    7.6e-07
 214000      2.71e+01    1.52e+01      4.64e-02    1.93e-02      2.71e-01    1.52e-01    7.6e-07
 215000      2.16e+01    2.15e+01      5.99e-03    7.11e-02      2.16e-01    2.15e-01    6.4e-07
 216000      2.31e+01    7.19e+00      7.30e-03    2.86e-02      2.31e-01    7.19e-02    6.4e-07
 217000      2.97e+01    1.16e+01      9.24e-03    3.19e-02      2.97e-01    1.16e-01    6.4e-07
 218000      8.13e+00    1.42e+01      4.30e-02    3.88e-02      8.13e-02    1.42e-01    6.4e-07
 219000      1.79e+01    1.04e+01      2.55e-02    3.39e-02      1.79e-01    1.04e-01    6.4e-07
 220000      2.05e+01    1.88e+01      3.40e-02    2.05e-03      2.05e-01    1.88e-01    5.4e-07
 221000      1.30e+01    1.95e+01      3.19e-02    3.04e-02      1.30e-01    1.95e-01    5.4e-07
 222000      3.77e+01    1.29e+01      2.41e-02    1.67e-02      3.77e-01    1.29e-01    5.4e-07
 223000      1.05e+01    1.70e+01      3.40e-02    1.40e-02      1.05e-01    1.70e-01    5.4e-07
 224000      2.01e+01    1.53e+01      3.22e-02    3.10e-02      2.01e-01    1.53e-01    5.4e-07
 225000      1.80e+01    1.52e+01      4.79e-03    6.29e-03      1.80e-01    1.52e-01    4.6e-07
 226000      1.93e+01    2.09e+01      3.51e-02    4.26e-03      1.93e-01    2.09e-01    4.6e-07
 227000      2.92e+01    1.82e+01      7.53e-03    8.27e-03      2.92e-01    1.82e-01    4.6e-07
 228000      7.32e+00    8.24e+00      1.11e-02    3.34e-02      7.32e-02    8.24e-02    4.6e-07
 229000      1.66e+01    3.74e+01      2.12e-02    1.17e-02      1.66e-01    3.74e-01    4.6e-07
 230000      1.77e+01    1.98e+01      2.87e-02    1.69e-02      1.77e-01    1.98e-01    3.8e-07
 231000      7.96e+00    7.65e+00      1.23e-02    2.46e-02      7.96e-02    7.65e-02    3.8e-07
 232000      3.48e+01    1.78e+01      2.99e-01    4.46e-03      3.48e-01    1.78e-01    3.8e-07
 233000      4.15e+01    3.87e+01      2.95e-02    2.75e-02      4.15e-01    3.87e-01    3.8e-07
 234000      2.05e+01    5.21e+01      4.98e-03    1.65e-01      2.05e-01    5.21e-01    3.8e-07
 235000      3.16e+01    1.47e+01      2.05e-02    1.01e-01      3.16e-01    1.47e-01    3.2e-07
 236000      1.04e+01    7.07e+00      1.32e-02    3.74e-02      1.04e-01    7.07e-02    3.2e-07
 237000      1.25e+01    7.44e+00      3.33e-02    1.07e-02      1.25e-01    7.44e-02    3.2e-07
 238000      1.52e+01    2.20e+01      1.15e-02    3.47e-02      1.52e-01    2.20e-01    3.2e-07
 239000      2.00e+01    1.26e+01      1.19e-01    1.02e-02      2.00e-01    1.26e-01    3.2e-07
 240000      1.52e+01    1.71e+01      2.23e-02    1.16e-02      1.52e-01    1.71e-01    2.7e-07
 241000      1.81e+01    2.63e+01      1.05e-02    1.21e-03      1.81e-01    2.63e-01    2.7e-07
 242000      2.03e+01    1.86e+01      1.58e-02    8.98e-03      2.03e-01    1.86e-01    2.7e-07
 243000      2.13e+01    2.02e+01      8.87e-03    4.95e-04      2.13e-01    2.02e-01    2.7e-07
 244000      2.18e+01    2.25e+01      1.17e-01    2.94e-02      2.18e-01    2.25e-01    2.7e-07
 245000      2.01e+01    8.14e+00      1.73e-02    3.79e-02      2.01e-01    8.14e-02    2.3e-07
 246000      2.25e+01    1.30e+01      1.13e-02    1.30e-02      2.25e-01    1.30e-01    2.3e-07
 247000      1.65e+01    1.90e+01      1.72e-02    2.45e-02      1.65e-01    1.90e-01    2.3e-07
 248000      3.23e+01    1.04e+01      9.43e-03    2.43e-02      3.23e-01    1.04e-01    2.3e-07
